id,display,kinds,k,n,orders,latex,stable,stable_orders
215,G0^(2),1,32,6,8,G_{0}^{(2)},,
216,\Delta(\sigma13\kappa̅20),1,32,6,4,\Delta(\sigma_{13}\bar{\kappa}_{20}),,
217,\Delta(EA1^II),1,32,6,2,\Delta(EA_1^{II}),,
218,\Delta(EA1^(1)\sigma33),1,32,6,2,\Delta(EA_1^{(1)}\sigma_{33}),,
219,"\mu4,",0,33,3,2,"\mu_{4,",,
220,\Delta(EA1^(2)),1,33,6,2,\Delta(EA_1^{(2)}),,
221,\Delta(EA1\omega25),1,33,6,2,\Delta(EA_1\omega_{25}),,
222,\Delta(EA1\sigma25\mu32),1,33,6,2,\Delta(EA_1\sigma_{25}\mu_{32}),,
223,\kappa',0,33,6,2,\kappa',,
224,G1^(1),1,32,14,8,G_{1}^{(1)},,
225,G2,1,32,22,8,G_{2},,
226,B1^(2),1,32,16,2,B_{1}^{(2)},,
227,B2^(1),1,32,24,2,B_{2}^{(1)},,
228,B3,1,32,32,2,B_{3},,
229,D1^(2),1,32,15,2,D_{1}^{(2)},,
300,D2^(1),1,32,23,2,D_{2}^{(1)},,
301,D3,1,32,31,2,D_{3},,
302,֮\beta,1,33,6,2,\widetilde{\beta}'',,
